Title	Length	Depth	Explored	X	Y	Altitude
AN672				683337.180000	4757624.640000	1963.000000
AN676A				684445.140000	4757088.650000	2164.000000
AN52				684425.140000	4757036.650000	2170.000000
AN683				684385.140000	4757066.650000	2150.000000
AN692				683198.180000	4757521.640000	1963.000000
AN699				683598.170000	4757518.640000	2006.000000
AN_702				683495.170000	4757518.640000	1983.000000
AN_704				683494.170000	4757513.640000	1983.000000
AN_702				683495.170000	4757518.640000	1983.000000
AN708				683794.160000	4756791.650000	2134.000000
AN711				684221.150000	4757316.650000	2112.000000
AP_45				685856.990000	4760856.760000	1702.000000
AP_333				685233.160000	4760327.650000	1750.000000
AP_337				685182.160000	4760219.650000	1750.000000
ROBINET				679877.300000	4760614.620000	1054.000000
ARPHIDIA				680102.300000	4760605.620000	1054.000000
BB09	67	59		684862.000000	4761666.000000	1501.000000
Gouffre du BB26	227	70		685382.000000	4761472.000000	1520.000000
Gouffre du BB27	58	27		685414.000000	4761491.000000	1490.000000
BB_50				685308.170000	4761486.660000	1537.000000
BG_63				683703.210000	4762126.640000	1386.000000
BL_118				680193.300000	4761927.620000	1023.000000
BT_6				682898.230000	4761080.640000	1618.000000
C_103				682015.220000	4758398.630000	1853.000000
C108 Sima H	510	194		682397.000000	4758216.000000	1897.000000
C110	735	304		681798.230000	4758473.630000	1783.000000
C_213				683008.200000	4758605.640000	1890.000000
C214 Sima de la niebla	1064	420		683433.590000	4758576.490000	1934.000000
C230 Sima ricky et ses ours	180	130		683015.200000	4758699.640000	1885.000000
C243 Sima de los cairns	674	187		683351.310000	4758547.150000	1939.000000
C299 Gouffre belle gueule	129	46		683708.000000	4758286.000000	2011.000000
CUCC_4				685519.600000	4760789.950000	1728.000000
CUCC_5				685364.840000	4760828.090000	1711.000000
PYRENE				685326.490000	4752187.300000	2300.000000
CHIPI				679622.300000	4759606.610000	1495.000000
AN519				684195.150000	4757290.650000	2096.000000
AN51				684220.150000	4757155.650000	2137.700000
AN51				684220.150000	4757155.650000	2137.700000
AN6				684135.150000	4757111.650000	2151.400000
AN548				684114.150000	4757307.650000	2095.800000
AN51				684220.150000	4757155.650000	2137.700000
FR3				683922.160000	4757347.640000	2052.800000
AN57				684004.160000	4757315.650000	2072.400000
AN509				684269.140000	4756878.650000	2178.200000
AN57				684004.160000	4757315.650000	2072.400000
AN548				684114.150000	4757307.650000	2095.800000
AN43				680891.250000	4757364.620000	1726.000000
AN60				683859.160000	4757205.640000	2126.000000
AN563				684211.150000	4757107.650000	2148.000000
AN597				684056.150000	4756936.650000	2153.300000
AN564				684279.150000	4757072.650000	2155.000000
AN6				684135.150000	4757111.650000	2151.400000
AN709				684021.160000	4757283.650000	2102.000000
AN454				684732.130000	4757147.650000	2138.000000
AN709				684021.160000	4757283.650000	2102.000000
AN3				683498.170000	4757314.640000	2045.000000
ERUSO				677045.350000	4759309.610000	1435.000000
ODITA				675399.780000	4761518.190000	825.000000
BU56				682974.160000	4755150.650000	1978.000000
A60				682693.160000	4754337.650000	1967.000000
Gouffre des arres planères AP7	532	324		684207.000000	4760382.000000	1705.000000
Gouffre AP260	0			685335.000000	4760539.000000	1720.000000
Gouffre des Bourrugues B3, entrée 01 : puits d'entrée	341	263		684226.000000	4760869.000000	1620.000000
Gouffre du Cam de Caque GL04	0			682365.000000	4760497.000000	1636.000000
Gouffre GL80	0			682536.000000	4760597.000000	1655.000000
Gouffre du Lonné Peyret GL102 - Entrée	342	225		682343.000000	4760590.000000	1633.000000
Gouffre des Squelettes NL31	0			681881.000000	4760652.000000	1620.000000
OURS				678582.310000	4757222.620000	1500.000000
LAK01 Grotte de l'Ours				677453.000000	4757295.000000	1489.000000
SC3 Gouffre du Beffroi				685184.140000	4759067.650000	2037.000000
M13 Gouffre Moreau				684645.150000	4758649.650000	1982.000000
SL19 Gouffre Pascale				681901.240000	4759770.630000	1767.000000
Trou Huet				680163.490000	4760208.320000	1295.000000
M413 Gouffre des partages	596	351		684400.150000	4757741.650000	2124.000000
M31 Gouffre du Pourtet	538	312		684181.160000	4758109.650000	2058.000000
D9 Gouffre de la tête sauvage	235	174		684039.170000	4759106.650000	1878.000000
Puits Lépineux				681921.240000	4759665.630000	1717.000000
C50 Gouffre des Pré-Hus				682561.210000	4759010.630000	1757.000000
C104, C2 Gouffre des quinquas	2156	366		682061.220000	4758369.630000	1858.000000
C226 Sima grande	1092	397		682983.450000	4758876.180000	1866.000000
Xendako ziloa	66	30		679557.300000	4759862.610000	1515.000000
Tunnel de la Verna				679685.310000	4760907.610000	1049.240000
DS_49				685754.150000	4761303.660000	1550.000000
E3_TSR3				683957.170000	4758860.640000	1930.000000
E22_00				685325.310000	4754122.080000	2261.000000
E2000				685374.500000	4754167.330000	2263.000000
ERE_80				682370.150000	4752614.660000	1856.000000
F_2				684148.160000	4758527.650000	1982.000000
F_404				684217.160000	4758418.650000	1990.000000
GORRIA				679469.300000	4758684.610000	1604.000000
LACS				675148.410000	4761692.610000	535.000000
ALAHAIS				686548.160000	4763533.670000	932.000000
CASCA				675293.410000	4761738.610000	540.000000
STALAC				675287.410000	4761711.610000	530.000000
IS_6B				685576.810000	4760819.690000	1729.000000
IS9_00				685372.150000	4760277.660000	1786.000000
K7 Hourat det soure	279	190		683274.190000	4758480.640000	1941.000000
L5				683699.000000	4757932.000000	2023.000000
LAK_15				678111.320000	4757302.620000	1535.000000
BOUQUE				679428.280000	4756752.620000	1577.000000
ILLAMI				675640.410000	4763131.610000	438.000000
M_108				684768.150000	4758414.650000	2030.000000
M_326				684890.140000	4758116.650000	2110.000000
M_400				684928.130000	4757555.650000	2203.000000
M_405				684269.150000	4757764.650000	2125.000000
M_414				684115.000000	4757872.000000	2114.000000
Résurgen des Oueils d'Issaux	218	73		687977.000000	4763944.000000	690.000000
SC 60	1795	323		685582.000000	4758577.000000	2162.000000
SC 223	348	178		685615.000000	4758635.000000	2154.000000
Sima_1748				681111.630000	4756106.410000	1748.000000
MARTIN				675567.400000	4761510.610000	820.000000
MOUTON				675269.410000	4761680.610000	535.000000
RENARD				678297.350000	4762276.610000	587.000000
UK_4				680674.250000	4756421.620000	1799.000000
UK_557				685287.100000	4755486.670000	2145.000000
UK_559				685324.100000	4755793.660000	2038.000000
BEAUF				681270.230000	4756253.630000	1740.000000
UK_D6				685226.100000	4755808.660000	2020.000000
UKK22 - Sima del Tobozo				682681.000000	4755870.000000	1975.000000
MARMI				685506.090000	4755505.670000	2005.000000
UT_140				679137.320000	4761267.610000	1128.000000
Z_17				680668.260000	4757992.620000	1753.000000
Z_100				680138.280000	4758117.620000	1680.000000
Z_106				679670.290000	4758386.610000	1625.000000
Z_107				679336.300000	4758062.610000	1660.000000
Z_108				680297.270000	4758326.620000	1684.000000
Z_111				679620.290000	4758073.610000	1685.000000
Z_112				680022.280000	4758357.620000	1639.000000
Z_123				679805.280000	4757907.610000	1697.000000
Z_124				679877.280000	4757583.610000	1720.000000
Z_127				679749.290000	4758182.610000	1658.000000
Z_143				679751.290000	4758078.610000	1674.000000
Z_150				680582.260000	4757988.620000	1745.000000
Z208				678964.300000	4757213.610000	1497.000000
Z_444				680324.270000	4758307.620000	1686.000000
Gouffre Z510	593	237		679298.000000	4758093.000000	1644.000000
